gene_id	n_exons	b	abs_b	type
STRG.10979	21	3.918676128	3.918676128	holo
STRG.10986	12	-4.027792849	4.027792849	para
STRG.1099	17	-1.322199861	1.322199861	holo
STRG.11003	12	-0.666821351	0.666821351	holo
STRG.11005	29	-1.64375306	1.64375306	holo
STRG.11010	25	-0.778418418	0.778418418	para
STRG.11010	25	0.455236052	0.455236052	para
STRG.11010	25	1.238832565	1.238832565	holo
STRG.11014	33	0.588317474	0.588317474	para
STRG.11026	10	2.078561293	2.078561293	holo
STRG.11030	31	-0.613199687	0.613199687	holo
STRG.11030	31	0.712940818	0.712940818	para
STRG.11042	12	-0.891080471	0.891080471	holo
STRG.11042	12	-0.568896763	0.568896763	holo
STRG.11042	12	0.449541843	0.449541843	para
STRG.11042	12	0.455236052	0.455236052	para
STRG.11042	12	1.012785163	1.012785163	para
STRG.11045	3	-2.7881812	2.7881812	holo
STRG.11045	3	-1.264054695	1.264054695	para
STRG.11047	13	-2.772306795	2.772306795	para
STRG.11062	39	0.426125542	0.426125542	para
STRG.11076	7	-1.028259762	1.028259762	para
STRG.11076	7	0.445623155	0.445623155	para
STRG.1108	68	0.609534788	0.609534788	para
STRG.11084	19	-0.891080471	0.891080471	holo
STRG.11084	19	1.012785163	1.012785163	para
STRG.11092	9	-0.940070159	0.940070159	para
STRG.11092	9	0.588317474	0.588317474	para
STRG.11107	39	-2.145646579	2.145646579	holo
STRG.11107	39	-1.933717621	1.933717621	para
STRG.11107	39	-0.482454005	0.482454005	holo
STRG.11116	3	0.419485411	0.419485411	holo
STRG.11120	4	0.634057142	0.634057142	para
STRG.11121	2	-0.519813093	0.519813093	para
STRG.11121	2	0.799114805	0.799114805	holo
STRG.11133	12	-3.09351347	3.09351347	para
STRG.11133	12	-0.940070159	0.940070159	para
STRG.11133	12	1.000479958	1.000479958	holo
STRG.11136	45	-4.526217827	4.526217827	holo
STRG.11136	45	-0.482454005	0.482454005	holo
STRG.11139	20	-2.226766858	2.226766858	para
STRG.11139	20	-0.939402861	0.939402861	para
STRG.11139	20	-0.414630235	0.414630235	para
STRG.11139	20	0.632759081	0.632759081	holo
STRG.11139	20	4.809798761	4.809798761	para
STRG.11139	20	5.75728737	5.75728737	holo
STRG.11141	3	-2.259250577	2.259250577	para
STRG.11141	3	-2.003162814	2.003162814	para
STRG.11141	3	-0.638175746	0.638175746	para
STRG.11141	3	0.941461662	0.941461662	holo
STRG.11141	3	1.881915943	1.881915943	holo
STRG.11145	6	-1.34261031	1.34261031	holo
STRG.11145	6	0.674123937	0.674123937	para
STRG.11149	4	-0.960716646	0.960716646	para
STRG.11153	19	-1.713058397	1.713058397	para
STRG.11153	19	-1.406531561	1.406531561	holo
STRG.11153	19	-1.305302206	1.305302206	para
STRG.11153	19	-1.002549165	1.002549165	para
STRG.11153	19	-0.695695249	0.695695249	para
STRG.11153	19	1.438130954	1.438130954	holo
STRG.11155	7	-3.703316132	3.703316132	holo
STRG.11157	12	-3.965732456	3.965732456	para
STRG.11157	12	-0.778418418	0.778418418	para
STRG.11157	12	-0.563172758	0.563172758	holo
STRG.11157	12	0.737394348	0.737394348	holo
STRG.11157	12	1.238832565	1.238832565	holo
STRG.1116	10	-0.549553391	0.549553391	mero
STRG.1116	10	3.697535273	3.697535273	para
STRG.1116	10	3.77804364	3.77804364	mero
STRG.1116	10	4.401435859	4.401435859	holo
STRG.11162	3	-0.33995707	0.33995707	holo
STRG.11162	3	0.454388519	0.454388519	para
STRG.11162	3	1.609596888	1.609596888	para
STRG.11162	3	1.725441391	1.725441391	holo
STRG.11163	13	-2.167239344	2.167239344	para
STRG.11163	13	0.518292047	0.518292047	holo
STRG.11163	13	0.590970605	0.590970605	holo
STRG.11163	13	0.924685994	0.924685994	holo
STRG.11163	13	1.39968165	1.39968165	holo
STRG.11172	15	-1.468206846	1.468206846	holo
STRG.11172	15	-0.563172758	0.563172758	holo
STRG.11172	15	0.808590542	0.808590542	para
STRG.1119	21	-1.322199861	1.322199861	holo
STRG.1119	21	-0.406171358	0.406171358	holo
STRG.11191	12	-1.505298013	1.505298013	para
STRG.11191	12	1.127762171	1.127762171	holo
STRG.11204	14	-1.933717621	1.933717621	para
STRG.11207	18	-3.267769075	3.267769075	holo
STRG.11211	12	-1.910631197	1.910631197	holo
STRG.11211	12	4.897300502	4.897300502	holo
STRG.11211	12	5.407115764	5.407115764	mero
STRG.11223	32	0.90079653	0.90079653	holo
STRG.11223	32	1.206031555	1.206031555	holo
STRG.11230	17	-1.106007674	1.106007674	holo
STRG.11230	17	-0.793268831	0.793268831	holo
STRG.11230	17	-0.598732767	0.598732767	para
STRG.11230	17	0.426028088	0.426028088	para
STRG.11244	16	0.809990548	0.809990548	para
STRG.11244	16	1.149566547	1.149566547	mero
STRG.11249	13	-1.151797512	1.151797512	para
STRG.11249	13	-0.960716646	0.960716646	para
STRG.11251	18	1.609596888	1.609596888	para
STRG.11251	18	1.725441391	1.725441391	holo
STRG.11256	20	-2.519858545	2.519858545	holo
STRG.11256	20	-1.727073749	1.727073749	mero
STRG.11256	20	-0.563172758	0.563172758	holo
STRG.11259	2	-4.299089621	4.299089621	holo
STRG.11259	2	-2.12424979	2.12424979	para
STRG.11259	2	-1.188497961	1.188497961	holo
STRG.11259	2	0.642753866	0.642753866	para
STRG.11259	2	2.318956486	2.318956486	holo
STRG.11260	8	-1.106007674	1.106007674	holo
STRG.11260	8	-0.83212094	0.83212094	para
STRG.11260	8	-0.793268831	0.793268831	holo
STRG.11260	8	-0.770240875	0.770240875	para
STRG.11260	8	-0.598732767	0.598732767	para
STRG.11265	40	-1.351445925	1.351445925	para
STRG.11265	40	-1.148322236	1.148322236	para
STRG.11265	40	-1.08121392	1.08121392	para
STRG.11265	40	-1.028153116	1.028153116	para
STRG.11265	40	0.742290192	0.742290192	holo
STRG.11265	40	0.927381785	0.927381785	holo
STRG.11274	11	-1.7481788	1.7481788	holo
STRG.11274	11	1.009911605	1.009911605	para
STRG.11275	28	-1.809988516	1.809988516	holo
STRG.11275	28	-0.32304625	0.32304625	para
STRG.11295	14	-0.932776534	0.932776534	holo
STRG.11295	14	-0.381266156	0.381266156	holo
STRG.11295	14	0.592380144	0.592380144	holo
STRG.11295	14	0.742290192	0.742290192	holo
STRG.11296	15	-0.83212094	0.83212094	para
STRG.11296	15	0.642753866	0.642753866	para
STRG.11298	19	-0.960716646	0.960716646	para
STRG.11301	4	-2.179659935	2.179659935	holo
STRG.11301	4	-0.32304625	0.32304625	para
STRG.11301	4	0.808590542	0.808590542	para
STRG.11311	49	-3.267769075	3.267769075	holo
STRG.11311	49	-1.520331126	1.520331126	holo
STRG.11311	49	-0.939929973	0.939929973	para
STRG.11311	49	1.075640589	1.075640589	holo
STRG.11317	9	-2.835752805	2.835752805	para
STRG.11317	9	-1.087404151	1.087404151	para
STRG.11324	9	0.750894195	0.750894195	holo
STRG.11325	18	-1.106007674	1.106007674	holo
STRG.11325	18	-0.793268831	0.793268831	holo
STRG.11325	18	-0.598732767	0.598732767	para
STRG.11326	9	-0.462576889	0.462576889	para
STRG.11326	9	0.433011934	0.433011934	holo
STRG.11329	4	0.809990548	0.809990548	para
STRG.11329	4	1.149566547	1.149566547	mero
STRG.11331	15	-0.960956601	0.960956601	holo
STRG.11331	15	-0.607024818	0.607024818	holo
STRG.11331	15	-0.417977088	0.417977088	para
STRG.11338	21	0.671157783	0.671157783	holo
STRG.11341	4	-0.591437007	0.591437007	holo
STRG.11341	4	0.847664206	0.847664206	holo
STRG.11343	3	-0.726024695	0.726024695	mero
STRG.11343	3	-0.67639341	0.67639341	holo
STRG.11343	3	-0.665184884	0.665184884	holo
STRG.11343	3	-0.607890536	0.607890536	para
STRG.11343	3	-0.484044834	0.484044834	holo
STRG.11343	3	0.819114302	0.819114302	para
STRG.11343	3	1.102553141	1.102553141	para
STRG.11343	3	1.240869164	1.240869164	para
STRG.11343	3	1.525179373	1.525179373	para
STRG.11346	6	0.425352395	0.425352395	holo
STRG.11346	6	0.426028088	0.426028088	para
STRG.11349	12	-1.037398446	1.037398446	holo
STRG.11349	12	-0.858259575	0.858259575	para
STRG.11360	18	-2.519858545	2.519858545	holo
STRG.11360	18	-1.727073749	1.727073749	mero
STRG.11362	9	-1.188497961	1.188497961	holo
STRG.11363	50	-2.772306795	2.772306795	para
STRG.11363	50	-0.437656038	0.437656038	holo
STRG.11363	50	0.426028088	0.426028088	para
STRG.11363	50	0.481871091	0.481871091	holo
STRG.11390	5	-0.765269136	0.765269136	holo
STRG.11390	5	-0.336642513	0.336642513	holo
STRG.11392	6	-4.932742008	4.932742008	holo
STRG.11403	5	0.636936732	0.636936732	holo
STRG.11404	6	-0.770240875	0.770240875	para
STRG.11404	6	-0.327959083	0.327959083	holo
STRG.11405	13	-5.473773891	5.473773891	holo
STRG.11405	13	-1.809988516	1.809988516	holo
STRG.11413	6	-0.998948964	0.998948964	para
STRG.11413	6	-0.336642513	0.336642513	holo
STRG.11418	20	-2.145646579	2.145646579	holo
STRG.11422	23	-2.61645822	2.61645822	para
STRG.11422	23	-1.188497961	1.188497961	holo
STRG.11423	16	-1.7481788	1.7481788	holo
STRG.11423	16	1.009911605	1.009911605	para
STRG.11429	5	-1.179226466	1.179226466	holo
STRG.11429	5	-1.118416794	1.118416794	mero
STRG.11452	16	-4.605634713	4.605634713	para
STRG.11452	16	4.874932065	4.874932065	para
STRG.11453	2	-3.552878514	3.552878514	para
STRG.11454	6	-1.7481788	1.7481788	holo
STRG.11454	6	-0.569830188	0.569830188	holo
STRG.11454	6	-0.452743051	0.452743051	para
STRG.11454	6	-0.318371061	0.318371061	holo
STRG.11454	6	1.009911605	1.009911605	para
STRG.11456	29	-0.939402861	0.939402861	para
STRG.11456	29	-0.414630235	0.414630235	para
STRG.11456	29	0.636936732	0.636936732	holo
STRG.11458	41	0.750894195	0.750894195	holo
STRG.11460	17	0.642753866	0.642753866	para
STRG.11474	14	0.799114805	0.799114805	holo
STRG.11478	20	0.808590542	0.808590542	para
STRG.11478	20	3.033316787	3.033316787	holo
STRG.11490	22	-2.88422241	2.88422241	para
STRG.11490	22	-1.998924591	1.998924591	holo
STRG.11490	22	-1.801004662	1.801004662	holo
STRG.11490	22	-1.285525403	1.285525403	holo
STRG.11490	22	-1.044993336	1.044993336	holo
STRG.11490	22	-0.994058859	0.994058859	mero
STRG.11490	22	-0.940070159	0.940070159	para
STRG.11490	22	-0.803971691	0.803971691	holo
STRG.11490	22	3.088577255	3.088577255	holo
STRG.11490	22	3.153212266	3.153212266	holo
STRG.11498	5	-1.406531561	1.406531561	holo
STRG.11498	5	-0.926051947	0.926051947	para
STRG.11498	5	-0.922888512	0.922888512	holo
STRG.11498	5	-0.695695249	0.695695249	para
STRG.11498	5	0.329863723	0.329863723	para
STRG.11498	5	0.828091099	0.828091099	para
STRG.11499	24	-2.604903802	2.604903802	holo
STRG.11499	24	-1.338740023	1.338740023	para
STRG.11499	24	-0.490012825	0.490012825	para
STRG.11499	24	0.799114805	0.799114805	holo
STRG.11503	10	-0.889013751	0.889013751	holo
STRG.11503	10	1.39968165	1.39968165	holo
STRG.11504	6	-4.622203056	4.622203056	holo
STRG.11520	19	-2.189598859	2.189598859	holo
STRG.11520	19	-1.070247774	1.070247774	para
STRG.11520	19	-0.688821141	0.688821141	mero
STRG.11520	19	-0.678540423	0.678540423	para
STRG.11520	19	-0.622147767	0.622147767	holo
STRG.11520	19	-0.616364147	0.616364147	mero
